date,contract,spot_price,futures_price,future_continuous,futures_expiry,basis_absolute,basis_percent,monthly_basis,annualized_basis,days_to_expiry
2024-02-26,MBTH4,54495.25,55325.00,,2024-03-29,829.75,1.52,1.43,17.37,32
2024-02-27,MBTH4,57016.25,57825.00,,2024-03-29,808.75,1.42,1.37,16.70,31
2024-02-28,MBTH4,60404.50,63120.00,,2024-03-29,2715.50,4.50,4.50,54.70,30
2024-02-29,MBTH4,62000.00,61785.00,,2024-03-29,-215.00,-0.35,-0.36,-4.36,29
2024-03-01,MBTH4,62957.00,63400.00,,2024-03-29,443.00,0.70,0.75,9.17,28
2024-03-04,MBTH4,67528.00,69075.00,,2024-03-29,1547.00,2.29,2.75,33.45,25
2024-03-05,MBTH4,61921.00,64390.00,,2024-03-29,2469.00,3.99,4.98,60.64,24
2024-03-06,MBTH4,67030.25,66610.00,,2024-03-29,-420.25,-0.63,-0.82,-9.95,23
2024-03-07,MBTH4,67688.00,67475.00,,2024-03-29,-213.00,-0.31,-0.43,-5.22,22
2024-03-08,MBTH4,69281.50,69015.00,,2024-03-29,-266.50,-0.38,-0.55,-6.69,21
2024-03-11,MBTH4,72025.50,72835.00,,2024-03-29,809.50,1.12,1.87,22.79,18
2024-03-12,MBTH4,71398.00,72010.00,,2024-03-29,612.00,0.86,1.51,18.40,17
2024-03-13,MBTH4,73460.50,73730.00,,2024-03-29,269.50,0.37,0.69,8.37,16
2024-03-14,MBTH4,69333.25,71720.00,,2024-03-29,2386.75,3.44,6.88,83.77,15
2024-03-15,MBTH4,68970.00,68240.00,,2024-03-29,-730.00,-1.06,-2.27,-27.59,14
2024-03-18,MBTH4,66947.50,67815.00,,2024-03-29,867.50,1.30,3.53,43.00,11
2024-03-19,MBTH4,64407.25,62200.00,,2024-03-29,-2207.25,-3.43,-10.28,-125.09,10
2024-03-20,MBTH4,65785.25,68090.00,,2024-03-29,2304.75,3.50,11.68,142.08,9
2024-03-21,MBTH4,65236.25,65595.00,,2024-03-29,358.75,0.55,2.06,25.09,8
2024-03-22,MBTH4,63890.25,63595.00,,2024-03-29,-295.25,-0.46,-1.98,-24.10,7
2024-03-25,MBTH4,71006.75,70105.00,,2024-03-29,-901.75,-1.27,-9.52,-115.88,4
2024-03-26,MBTH4,69449.50,69975.00,,2024-03-29,525.50,0.76,7.57,92.06,3
2024-03-27,MBTH4,68619.50,69295.00,,2024-03-29,675.50,0.98,14.77,179.66,2
