ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2021-05-02T00:00:00.000000000Z,35,1,23929,57000.000000000,57000.000000000,56435.000000000,56795.000000000,197,MBTK1
2021-05-03T00:00:00.000000000Z,35,1,22356,59000.000000000,59000.000000000,59000.000000000,59000.000000000,1,MBTQ1
2021-05-03T00:00:00.000000000Z,35,1,24022,59900.000000000,59990.000000000,59900.000000000,59990.000000000,2,MBTU1
2021-05-03T00:00:00.000000000Z,35,1,29651,59600.000000000,59600.000000000,57490.000000000,58000.000000000,105,MBTM1
2021-05-03T00:00:00.000000000Z,35,1,23929,56825.000000000,59280.000000000,56815.000000000,57400.000000000,7378,MBTK1
2021-05-03T00:00:00.000000000Z,35,1,27821,320.000000000,344.000000000,312.000000000,344.000000000,21,MBTK1-MBTM1
2021-05-03T00:00:00.000000000Z,35,1,28443,59795.000000000,60465.000000000,58875.000000000,58980.000000000,135,MBTN1
2021-05-03T00:00:00.000000000Z,35,1,29671,325.000000000,325.000000000,325.000000000,325.000000000,1,MBTM1-MBTN1
2021-05-04T00:00:00.000000000Z,35,1,29169,59990.000000000,59990.000000000,59990.000000000,59990.000000000,1,MBTZ2
2021-05-04T00:00:00.000000000Z,35,1,28443,56345.000000000,57240.000000000,54210.000000000,54665.000000000,24,MBTN1
2021-05-04T00:00:00.000000000Z,35,1,29651,57000.000000000,57060.000000000,53575.000000000,54005.000000000,276,MBTM1
2021-05-04T00:00:00.000000000Z,35,1,23929,57275.000000000,57345.000000000,53030.000000000,53145.000000000,22859,MBTK1
2021-05-04T00:00:00.000000000Z,35,1,27821,357.000000000,366.000000000,270.000000000,270.000000000,17,MBTK1-MBTM1
2021-05-04T00:00:00.000000000Z,35,1,22356,57260.000000000,57260.000000000,56500.000000000,56500.000000000,3,MBTQ1
2021-05-05T00:00:00.000000000Z,35,1,22356,58790.000000000,59020.000000000,58500.000000000,58500.000000000,4,MBTQ1
2021-05-05T00:00:00.000000000Z,35,1,29651,54525.000000000,58100.000000000,54500.000000000,57815.000000000,233,MBTM1
2021-05-05T00:00:00.000000000Z,35,1,24022,57750.000000000,59000.000000000,57750.000000000,59000.000000000,2,MBTU1
