date,open,high,low,close,volume,etf_price,btc_price
2025-12-26 00:00:00,,,,,,49.61,91778.5
2025-12-29 00:00:00,,,,,,49.38,91353.0
2025-12-30 00:00:00,,,,,,49.83,92185.5
2025-12-31 00:00:00,,,,,,49.65,91852.5
2026-01-02 00:00:00,,,,,,50.94,94239.0
2026-01-05 00:00:00,,,,,,53.46,98901.0
2026-01-06 00:00:00,,,,,,52.45,97032.5
2026-01-07 00:00:00,,,,,,51.54,95349.0
2026-01-08 00:00:00,,,,,,51.52,95312.0
2026-01-09 00:00:00,,,,,,51.16,94646.0
2026-01-12 00:00:00,,,,,,51.87,95959.5
2026-01-13 00:00:00,,,,,,53.57,99104.5
2026-01-14 00:00:00,,,,,,55.44,102564.0
2026-01-15 00:00:00,,,,,,54.0,99900.0
2026-01-16 00:00:00,,,,,,54.24,100344.0
2026-01-20 00:00:00,,,,,,50.76,93906.0
2026-01-21 00:00:00,,,,,,51.11,94553.5
2026-01-22 00:00:00,,,,,,50.67,93739.5
2026-01-23 00:00:00,,,,,,50.7,93795.0
2026-01-26 00:00:00,,,,,,49.65,91852.5
2026-01-27 00:00:00,,,,,,50.63,93665.5
2026-01-28 00:00:00,,,,,,50.51,93443.5
2026-01-29 00:00:00,,,,,,47.6,88060.0
2026-01-30 00:00:00,,,,,,47.49,87856.5
2026-02-02 00:00:00,,,,,,44.22,81807.0
2026-02-03 00:00:00,,,,,,43.3,80105.0
2026-02-04 00:00:00,,,,,,41.57,76904.5
2026-02-05 00:00:00,,,,,,36.1,66785.0
2026-02-06 00:00:00,,,,,,39.68,73408.0
2026-02-09 00:00:00,,,,,,40.11,74203.5
