date,contract,spot_price,futures_price,future_continuous,futures_expiry,basis_absolute,basis_percent,monthly_basis,annualized_basis,days_to_expiry
2023-12-29,MBTF4,42027.75,42435.00,,2024-01-26,407.25,0.97,1.04,12.63,28
2024-01-01,MBTF4,43690.75,45650.00,,2024-01-26,1959.25,4.48,5.38,65.47,25
2024-01-02,MBTF4,44816.25,45400.00,,2024-01-26,583.75,1.30,1.63,19.81,24
2024-01-03,MBTF4,42734.25,43250.00,,2024-01-26,515.75,1.21,1.57,19.15,23
2024-01-04,MBTF4,44180.00,44615.00,,2024-01-26,435.00,0.98,1.34,16.34,22
2024-01-05,MBTF4,44003.00,44355.00,,2024-01-26,352.00,0.80,1.14,13.90,21
2024-01-08,MBTF4,46807.25,47525.00,,2024-01-26,717.75,1.53,2.56,31.09,18
2024-01-09,MBTF4,46671.50,46395.00,,2024-01-26,-276.50,-0.59,-1.05,-12.72,17
2024-01-10,MBTF4,46156.25,46925.00,,2024-01-26,768.75,1.67,3.12,38.00,16
2024-01-11,MBTF4,46265.00,46490.00,,2024-01-26,225.00,0.49,0.97,11.83,15
2024-01-12,MBTF4,43650.25,43415.00,,2024-01-26,-235.25,-0.54,-1.15,-14.05,14
2024-01-15,MBTF4,42925.75,42500.00,,2024-01-26,-425.75,-0.99,-2.70,-32.91,11
2024-01-16,MBTF4,43190.75,43230.00,,2024-01-26,39.25,0.09,0.27,3.32,10
2024-01-17,MBTF4,42677.25,42780.00,,2024-01-26,102.75,0.24,0.80,9.76,9
2024-01-18,MBTF4,40749.75,41225.00,,2024-01-26,475.25,1.17,4.37,53.21,8
2024-01-19,MBTF4,41563.75,41645.00,,2024-01-26,81.25,0.20,0.84,10.19,7
2024-01-22,MBTF4,40145.00,39505.00,,2024-01-26,-640.00,-1.59,-11.96,-145.47,4
2024-01-23,MBTF4,39145.75,39910.00,,2024-01-26,764.25,1.95,19.52,237.53,3
2024-01-26,MBTG4,41979.25,42335.00,,2024-02-23,355.75,0.85,0.91,11.05,28
2024-01-29,MBTG4,43149.00,43660.00,,2024-02-23,511.00,1.18,1.42,17.29,25
2024-01-30,MBTG4,43568.25,43325.00,,2024-02-23,-243.25,-0.56,-0.70,-8.49,24
2024-01-31,MBTG4,42527.75,42865.00,,2024-02-23,337.25,0.79,1.03,12.58,23
2024-02-01,MBTG4,42985.50,43415.00,,2024-02-23,429.50,1.00,1.36,16.58,22
2024-02-02,MBTG4,42931.75,43230.00,,2024-02-23,298.25,0.69,0.99,12.07,21
2024-02-05,MBTG4,42384.25,42850.00,,2024-02-23,465.75,1.10,1.83,22.28,18
2024-02-06,MBTG4,43072.25,43335.00,,2024-02-23,262.75,0.61,1.08,13.10,17
2024-02-07,MBTG4,44119.50,44660.00,,2024-02-23,540.50,1.23,2.30,27.95,16
2024-02-08,MBTG4,45506.75,45575.00,,2024-02-23,68.25,0.15,0.30,3.65,15
2024-02-09,MBTG4,47545.00,47805.00,,2024-02-23,260.00,0.55,1.17,14.26,14
2024-02-12,MBTG4,50178.25,50225.00,,2024-02-23,46.75,0.09,0.25,3.09,11
2024-02-13,MBTG4,49421.50,50035.00,,2024-02-23,613.50,1.24,3.72,45.31,10
2024-02-14,MBTG4,51706.50,52095.00,,2024-02-23,388.50,0.75,2.50,30.47,9
2024-02-15,MBTG4,51724.00,52245.00,,2024-02-23,521.00,1.01,3.78,45.96,8
2024-02-16,MBTG4,51855.25,52240.00,,2024-02-23,384.75,0.74,3.18,38.69,7
2024-02-19,MBTG4,51807.00,51930.00,,2024-02-23,123.00,0.24,1.78,21.66,4
