date,spot_price,futures_price,basis_absolute,basis_percent,annualized_basis,days_to_expiry,futures_expiry
2024-01-02,44816.25,55298.00,10481.75,23.39,355.70,24,2024-01-26
2024-01-03,42734.25,52522.00,9787.75,22.90,363.47,23,2024-01-26
2024-01-04,44180.00,54429.00,10249.00,23.20,384.88,22,2024-01-26
2024-01-05,44003.00,54043.00,10040.00,22.82,396.57,21,2024-01-26
2024-01-08,46807.25,57560.00,10752.75,22.97,465.83,18,2024-01-26
2024-01-09,46671.50,57277.00,10605.50,22.72,487.89,17,2024-01-26
2024-01-10,46156.25,56372.00,10215.75,22.13,504.91,16,2024-01-26
2024-01-11,46265.00,56239.00,9974.00,21.56,524.59,15,2024-01-26
2024-01-12,43650.25,53011.00,9360.75,21.44,559.10,14,2024-01-26
2024-01-15,42925.75,53011.00,10085.25,23.49,779.59,11,2024-01-26
2024-01-16,43190.75,52637.00,9446.25,21.87,798.29,10,2024-01-26
2024-01-17,42677.25,52106.00,9428.75,22.09,896.00,9,2024-01-26
2024-01-18,40749.75,49747.00,8997.25,22.08,1007.37,8,2024-01-26
2024-01-19,41563.75,50604.00,9040.25,21.75,1134.12,7,2024-01-26
2024-01-22,40145.00,48854.00,8709.00,21.69,1979.56,4,2024-01-26
2024-01-23,39145.75,47738.00,8592.25,21.95,2670.51,3,2024-01-26
2024-01-24,39525.50,48226.00,8700.50,22.01,4017.26,2,2024-01-26
2024-01-25,39790.75,48299.00,8508.25,21.38,7804.61,1,2024-01-26
2024-01-26,41979.25,51153.00,9173.75,21.85,0.00,0,2024-01-26
2024-01-29,43149.00,52528.00,9379.00,21.74,317.35,25,2024-02-23
2024-01-30,43568.25,52963.00,9394.75,21.56,327.94,24,2024-02-23
2024-01-31,42527.75,51666.00,9138.25,21.49,341.00,23,2024-02-23
2024-02-01,42985.50,52221.00,9235.50,21.49,356.46,22,2024-02-23
2024-02-02,42931.75,52112.00,9180.25,21.38,371.66,21,2024-02-23
2024-02-05,42384.25,51352.00,8967.75,21.16,429.04,18,2024-02-23
2024-02-06,43072.25,52257.00,9184.75,21.32,457.84,17,2024-02-23
2024-02-07,44119.50,53590.00,9470.50,21.47,489.68,16,2024-02-23
2024-02-08,45506.75,55207.00,9700.25,21.32,518.69,15,2024-02-23
2024-02-09,47545.00,57645.00,10100.00,21.24,553.84,14,2024-02-23
2024-02-12,50178.25,60897.00,10718.75,21.36,708.81,11,2024-02-23
2024-02-13,49421.50,59901.00,10479.50,21.20,773.96,10,2024-02-23
2024-02-14,51706.50,62737.00,11030.50,21.33,865.17,9,2024-02-23
2024-02-15,51724.00,62695.00,10971.00,21.21,967.74,8,2024-02-23
2024-02-16,51855.25,62779.00,10923.75,21.07,1098.43,7,2024-02-23
2024-02-19,51807.00,62779.00,10972.00,21.18,1932.55,4,2024-02-23
2024-02-20,51996.25,62858.00,10861.75,20.89,2541.55,3,2024-02-23
2024-02-21,50971.25,61471.00,10499.75,20.60,3759.38,2,2024-02-23
2024-02-22,51997.50,62763.00,10765.50,20.70,7556.92,1,2024-02-23
2024-02-23,51089.25,61614.00,10524.75,20.60,0.00,0,2024-02-23
2024-02-26,54495.25,65828.00,11332.75,20.80,237.20,32,2024-03-29
2024-02-27,57016.25,68602.00,11585.75,20.32,239.25,31,2024-03-29
2024-02-28,60404.50,72472.00,12067.50,19.98,243.06,30,2024-03-29
2024-02-29,62000.00,74722.00,12722.00,20.52,258.26,29,2024-03-29
2024-03-01,62957.00,75990.00,13033.00,20.70,269.86,28,2024-03-29
2024-03-04,67528.00,81532.00,14004.00,20.74,302.78,25,2024-03-29
2024-03-05,61921.00,74323.00,12402.00,20.03,304.60,24,2024-03-29
2024-03-06,67030.25,80675.00,13644.75,20.36,323.04,23,2024-03-29
2024-03-07,67688.00,81395.00,13707.00,20.25,335.97,22,2024-03-29
2024-03-08,69281.50,83110.00,13828.50,19.96,346.92,21,2024-03-29
2024-03-11,72025.50,86509.00,14483.50,20.11,407.76,18,2024-03-29
2024-03-12,71398.00,85485.00,14087.00,19.73,423.62,17,2024-03-29
2024-03-13,73460.50,88003.00,14542.50,19.80,451.60,16,2024-03-29
2024-03-14,69333.25,82866.00,13532.75,19.52,474.95,15,2024-03-29
2024-03-15,68970.00,82348.00,13378.00,19.40,505.70,14,2024-03-29
2024-03-18,66947.50,79985.00,13037.50,19.47,646.19,11,2024-03-29
2024-03-19,64407.25,76907.00,12499.75,19.41,708.37,10,2024-03-29
2024-03-20,65785.25,78568.00,12782.75,19.43,788.04,9,2024-03-29
2024-03-21,65236.25,77883.00,12646.75,19.39,884.49,8,2024-03-29
2024-03-22,63890.25,76169.00,12278.75,19.22,1002.11,7,2024-03-29
