date,spot_price,futures_price,basis_absolute,basis_percent,annualized_basis,days_to_expiry,futures_expiry
2025-12-03,92990.50,94536.00,1545.50,1.66,26.38,23,2025-12-26
2025-12-04,92519.25,94105.00,1585.75,1.71,28.44,22,2025-12-26
2025-12-05,89345.50,90821.00,1475.50,1.65,28.70,21,2025-12-26
2025-12-08,90791.00,92230.00,1439.00,1.58,32.14,18,2025-12-26
2025-12-09,93115.50,94612.00,1496.50,1.61,34.51,17,2025-12-26
2025-12-10,92457.75,94049.00,1591.25,1.72,39.26,16,2025-12-26
2025-12-11,91796.50,93264.00,1467.50,1.60,38.90,15,2025-12-26
2025-12-12,90220.75,91672.00,1451.25,1.61,41.94,14,2025-12-26
2025-12-15,85770.25,87157.00,1386.75,1.62,53.65,11,2025-12-26
2025-12-16,87564.00,88991.00,1427.00,1.63,59.48,10,2025-12-26
2025-12-17,85873.25,87136.00,1262.75,1.47,59.64,9,2025-12-26
2025-12-18,84581.75,85976.00,1394.25,1.65,75.21,8,2025-12-26
2025-12-19,88017.25,89260.00,1242.75,1.41,73.62,7,2025-12-26
2025-12-22,88299.75,89594.00,1294.25,1.47,133.75,4,2025-12-26
2025-12-23,87639.25,88880.00,1240.75,1.42,172.25,3,2025-12-26
2025-12-24,87478.25,88434.00,955.75,1.09,199.39,2,2025-12-26
2025-12-26,87505.75,88645.00,1139.25,1.30,0.00,0,2025-12-26
2025-12-29,87091.50,88242.00,1150.50,1.32,15.07,32,2026-01-30
2025-12-30,87833.75,88948.00,1114.25,1.27,14.94,31,2026-01-30
2025-12-31,87519.25,88570.00,1050.75,1.20,14.61,30,2026-01-30
2026-01-02,89715.50,90893.00,1177.50,1.31,17.11,28,2026-01-30
2026-01-05,94169.25,95322.00,1152.75,1.22,17.87,25,2026-01-30
2026-01-06,92459.50,93518.00,1058.50,1.14,17.41,24,2026-01-30
2026-01-07,90930.25,91946.00,1015.75,1.12,17.73,23,2026-01-30
2026-01-08,90819.00,91815.00,996.00,1.10,18.20,22,2026-01-30
2026-01-09,90177.75,91109.00,931.25,1.03,17.95,21,2026-01-30
2026-01-12,91400.25,92374.00,973.75,1.07,21.60,18,2026-01-30
2026-01-13,94409.00,95453.00,1044.00,1.11,23.74,17,2026-01-30
2026-01-14,97645.25,98728.00,1082.75,1.11,25.30,16,2026-01-30
2026-01-15,95191.75,96098.00,906.25,0.95,23.17,15,2026-01-30
2026-01-16,95500.00,96410.00,910.00,0.95,24.84,14,2026-01-30
2026-01-20,89595.00,90364.00,769.00,0.86,31.33,10,2026-01-30
2026-01-21,90119.00,90933.00,814.00,0.90,36.63,9,2026-01-30
2026-01-22,89314.50,90142.00,827.50,0.93,42.27,8,2026-01-30
2026-01-23,89375.75,90197.00,821.25,0.92,47.91,7,2026-01-30
2026-01-26,87513.75,88268.00,754.25,0.86,78.65,4,2026-01-30
2026-01-27,89275.50,90087.00,811.50,0.91,110.59,3,2026-01-30
2026-01-28,88987.50,89774.00,786.50,0.88,161.30,2,2026-01-30
2026-01-29,84065.25,84710.00,644.75,0.77,279.94,1,2026-01-30
2026-01-30,83764.25,84640.00,875.75,1.05,0.00,0,2026-01-30
2026-02-02,77931.50,78755.00,823.50,1.06,15.43,25,2026-02-27
2026-02-03,76364.00,76420.00,56.00,0.07,1.12,24,2026-02-27
2026-02-04,73332.25,72795.00,-537.25,-0.73,-11.63,23,2026-02-27
2026-02-05,63611.00,63270.00,-341.00,-0.54,-8.89,22,2026-02-27
2026-02-06,69989.00,70505.00,516.00,0.74,12.81,21,2026-02-27
2026-02-09,70713.50,70565.00,-148.50,-0.21,-4.26,18,2026-02-27
