date,open,high,low,close,volume,futures_price,expiry
2025-11-13 08:00:00,103301.5,105848.7,99073.9,101265.6,800308.0,101265.6,202603
2025-11-14 08:00:00,101200.0,101446.4,95555.0,96066.6,557360.0,96066.6,202603
2025-11-15 08:00:00,96118.8,98342.0,96118.8,97118.3,96515.0,97118.3,202603
2025-11-16 08:00:00,97127.8,98143.6,94401.0,95774.3,389900.0,95774.3,202603
2025-11-17 08:00:00,95751.8,97586.8,92621.5,93572.7,418624.0,93572.7,202603
2025-11-18 08:00:00,93514.0,95400.0,90626.5,94527.3,280716.0,94527.3,202603
2025-11-19 08:00:00,94472.9,94491.8,90037.6,93029.2,255315.0,93029.2,202603
2025-11-20 08:00:00,93036.6,94708.0,87477.1,87907.0,538662.0,87907.0,202603
2025-11-21 08:00:00,87926.0,88799.7,81655.2,86253.5,1759788.0,86253.5,202603
2025-11-22 08:00:00,86219.7,86696.2,84589.4,85849.2,129866.0,85849.2,202603
2025-11-23 08:00:00,85852.4,89419.3,85852.4,88144.6,318139.0,88144.6,202603
2025-11-24 08:00:00,88078.9,90600.0,86603.8,89713.5,643884.0,89713.5,202603
2025-11-25 08:00:00,89660.1,89969.1,87451.7,88702.4,425697.0,88702.4,202603
2025-11-26 08:00:00,88728.7,92231.8,87646.1,92071.1,284528.0,92071.1,202603
2025-11-27 08:00:00,92059.2,93470.3,91644.8,92858.6,233988.0,92858.6,202603
2025-11-28 08:00:00,92896.6,94624.9,91733.3,92392.3,296560.0,92392.3,202603
2025-11-29 08:00:00,92391.7,92740.4,91717.1,92393.4,129497.0,92393.4,202603
2025-11-30 08:00:00,92393.5,93483.5,91854.0,91880.9,154153.0,91880.9,202603
2025-12-01 08:00:00,91850.0,91916.3,85031.9,87659.4,992596.0,87659.4,202603
2025-12-02 08:00:00,87622.8,93770.3,87504.0,92709.1,464262.0,92709.1,202603
2025-12-03 08:00:00,92773.7,95655.0,92397.2,94891.0,530402.0,94891.0,202603
2025-12-04 08:00:00,94936.4,95602.6,92284.4,93470.3,325987.0,93470.3,202603
2025-12-05 08:00:00,93512.5,94076.9,89285.8,90584.1,616453.0,90584.1,202603
2025-12-06 08:00:00,90488.6,91454.9,90071.1,90357.3,54441.0,90357.3,202603
2025-12-07 08:00:00,90348.1,92979.6,88875.1,91739.8,211194.0,91739.8,202603
2025-12-08 08:00:00,91530.3,93528.8,90804.1,91835.0,152439.0,91835.0,202603
2025-12-09 08:00:00,91821.9,95772.1,90716.6,93854.2,212719.0,93854.2,202603
2025-12-10 08:00:00,93840.1,95700.0,92800.0,93204.1,155603.0,93204.1,202603
2025-12-11 08:00:00,93199.3,94677.7,90360.0,93589.6,267544.0,93589.6,202603
