date,spot_price,futures_price,futures_expiry,basis_absolute,basis_percent,annualized_basis,days_to_expiry
2025-12-26,91778.50,88355.00,2026-02-27,-3423.50,-3.73,-21.61,63
2025-12-29,91353.00,87955.00,2026-02-27,-3398.00,-3.72,-22.63,60
2025-12-30,92185.50,88655.00,2026-02-27,-3530.50,-3.83,-23.69,59
2025-12-31,91852.50,88280.00,2026-02-27,-3572.50,-3.89,-24.48,58
2026-01-02,94239.00,90590.00,2026-02-27,-3649.00,-3.87,-25.24,56
2026-01-05,98901.00,95005.00,2026-02-27,-3896.00,-3.94,-27.13,53
2026-01-06,97032.50,93195.00,2026-02-27,-3837.50,-3.95,-27.76,52
2026-01-07,95349.00,91615.00,2026-02-27,-3734.00,-3.92,-28.03,51
2026-01-08,95312.00,91500.00,2026-02-27,-3812.00,-4.00,-29.20,50
2026-01-09,94646.00,90800.00,2026-02-27,-3846.00,-4.06,-30.27,49
2026-01-12,95959.50,92060.00,2026-02-27,-3899.50,-4.06,-32.24,46
2026-01-13,99104.50,95120.00,2026-02-27,-3984.50,-4.02,-32.61,45
2026-01-14,102564.00,98380.00,2026-02-27,-4184.00,-4.08,-33.84,44
2026-01-15,99900.00,95765.00,2026-02-27,-4135.00,-4.14,-35.13,43
2026-01-16,100344.00,96075.00,2026-02-27,-4269.00,-4.25,-36.97,42
2026-01-20,93906.00,90015.00,2026-02-27,-3891.00,-4.14,-39.80,38
2026-01-21,94553.50,90585.00,2026-02-27,-3968.50,-4.20,-41.40,37
2026-01-22,93739.50,89790.00,2026-02-27,-3949.50,-4.21,-42.72,36
2026-01-23,93795.00,89850.00,2026-02-27,-3945.00,-4.21,-43.86,35
2026-01-26,91852.50,87935.00,2026-02-27,-3917.50,-4.26,-48.65,32
2026-01-27,93665.50,89745.00,2026-02-27,-3920.50,-4.19,-49.28,31
2026-01-28,93443.50,89450.00,2026-02-27,-3993.50,-4.27,-52.00,30
2026-01-29,88060.00,84400.00,2026-02-27,-3660.00,-4.16,-52.31,29
2026-01-30,87856.50,84105.00,2026-02-27,-3751.50,-4.27,-55.66,28
2026-02-02,81807.00,78205.00,2026-02-27,-3602.00,-4.40,-64.28,25
2026-02-03,80105.00,76680.00,2026-02-27,-3425.00,-4.28,-65.03,24
2026-02-04,76904.50,73570.00,2026-02-27,-3334.50,-4.34,-68.81,23
2026-02-05,66785.00,63795.00,2026-02-27,-2990.00,-4.48,-74.28,22
2026-02-06,73408.00,70260.00,2026-02-27,-3148.00,-4.29,-74.54,21
2026-02-09,74203.50,70945.00,2026-02-27,-3258.50,-4.39,-89.05,18
